Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Difficulty,Topic,Free,Registered
How many years is a salesperson license valid for?,2,5,1,Indefinite,3,1,1,License Law,,
What does the acronym GCI stand for?,Gross Commission Income,Guest Common Incentive,"Gas, Car and Incidentals",Geographic Commission Income,Global Committee on Interest,1,2,Finance and Economics,,
What is the minimum age required to be a broker?,19,21,18,20,16,4,1,License Law,,
A NYS disclosure form is required from,Buyers,Sellers,Tenants,Landlords,All,5,1,Law of Agency,,
Sheathing is,Cancelling a contract a day before,Waterproof exterior panels on a house,Wiring money without a beneficiary,Removal of bad title on a house,Protection clause in a contract,2,1,Construction,,
A condo is considered to be,An apartment,A unit in a building,Shares in a corporation,Real property,Government housing,4,2,Condos and Coops,,
Which of the following is NOT part of OLDCAR?,Disclosure,Obedience,Resilience,Accountability,Loyalty,3,2,Law of Agency,,1
Which of the following is NOT part of OLDCAR?,Love,Disclosure,Confidentiality,Reasonable care,Obedience,1,1,Law of Agency,,
Which of the following is NOT part of OLDCAR?,Obeyance,Accountability,Confidentiality,Obedience,Loyalty,1,1,Law of Agency,,
Which of the following IS part of OLDCAR?,Competence,Closure,Ensure,Endurance,Disclosure,5,2,Law of Agency,,
Which of the following IS part of OLDCAR?,Accounts,Open,Responsive,Loyalty,Discretion,4,2,Law of Agency,,
FNMA is also referred to as,Fannie Mae,Aunt Jemima,Fanny Pack,Fannie May,Mortgage Association,1,2,Mortgage,1,1
"When a loan exceeds FNMA loan limits, the loan is referred to as",Blockbusted,Non-conforming,Variance,Illiquid,Invalid,2,2,Mortgage,,
The acronym FNMA stands for,Future Nation Mortgage Act,Federal Nation Mortgage Associated,Federal National Money Accord,Feudal National Mortgage Association,Federal National Mortgage Association,5,2,Mortgage,,
A flip tax is,Optional costs incurred by brokerages,Tax on property that?s flipped within 60 days,A fee paid by seller to co-op board,3.75% transaction tax on short sales,A refundable fee,3,2,Condos and Coops,,
The covenant of seizin promises,You can cancel a contract within a number of days,"If you seize it, it's yours",Allows delays by plaintiff,The grantor indeed owns the property,Authorizes the Sherifff to posses land if mortgage is delinquent,4,2,Deeds,,
The covenant that promises that the grantor owns the property sold is called,Laches,Seizin,Acceleration,Ensurement,Confirmation,2,2,Deeds,,
The covenant of seizin is contained in the,City register,Sales contract,Lease,Deed,Title policy,4,2,Deeds,,1
A rise in the CPI most probably indicates,Deflation,Inflation,Stagflation,Negative GDP growth,Positive GDP growth,2,3,Finance and Economics,,
An economic inflation is necessarily when there is,A general increase in prices of goods,An increase in workforce productivity,A very high broker commission,A real estate bubble,An increase in purchasing power,1,3,Finance and Economics,,
An economic inflation is necessarily when there is,A real estate bubble,A decrease in workforce productivity,An increase in minimum wage,Reveral of GDP stagflation,A fall in purchasing power,5,3,Finance and Economics,,
An economic deflation is necessarily when,Markets cool down,Prices decrease,Condo demand peaks,The Fed drops interest rates,Staglfation rises,2,2,Finance and Economics,,
An economic stagflation is necessarily when there is,Zero growth,Rapid growth cycles,A drop in inflation twice,Inflation followed by deflation,Stagnant employment numbers,5,2,Finance and Economics,1,1
"When the CPI index drops and purchasing power increases, it's called",Deflation,Staflation,Stagnation,Reverse bubble,Inflation,1,2,Finance and Economics,,
Illegal mixing of funds that should have been isolated is called,Mixer,Comixing,Commingling,Ponzi,Mingling,3,2,Law of Agency,,
The FHA refers to an act and stands for,Fair Housing Act,Free Home Act,Federal Home Act,Federal Housing Accord,Federal Housing Acts,1,1,Fair Housing,,
The Fair Housing Act was passed in,1969,1968,1966,1967,1939,2,2,Fair Housing,,
An amendment to the FHA was made in,1990,1980,1988,1968,1898,3,2,Fair Housing,,
The 1988 FHA amendment protects from discrimination,Nationality,Race,Family status & the disabled,Income source,Sexual orientation,3,2,Fair Housing,,1
The government agency that handles real estate salesperson licenses is,Department of State,Department of Treasury,Department of Buildings,NYC Real Estate License Division,National Realtors,1,1,Law of Agency,,
"In a mortgage loan, one point equals to",1% reduction in the loan rate,1% of the interest rate,1% increase in the loan,.01% of the loan amount,1% of the loan amount,5,2,Mortgage,,
A reason a borrower may purchase mortgage points would be to,Put money into the mortgage savings account,Lower the loan interest rate,Get costs out of the way upfront,Convert a fixed loan to variable,Protect against inflation,2,2,Mortgage,,
A bank most likely prefers to sell mortgage points as a means to,Get money upfront and reduce mortgage risks,Meet sales targets,Reduce bank's closing costs,Increase customer satisfaction,Satisfy government regulation,1,2,Mortgage,,
A landlord changees the locks on their non-paying tenant. This is known as,Police power,Laws of escheat,Eminent domain,Seizin,Constructive eviction,5,2,Leases,1,1
Radon is best described as a,Liquid,Gas,Solid,Pulse,Wave,2,1,Environmental Issues,,
How many continuing education credits are required of agents per 2 year period?,33.5,37.5,30,20,10,2,1,Law of Agency,,
"A loan amount is $500,00. What is 2 points equal to?","$1,000,000 ","$2,000 ","$10,000 ","$20,000 ",$110.92 ,3,2,Mortgage,,
"A borrower purchases points for $18,000 on a $600,000 loan. How many points did they purchase?",18,3,60,38,20,2,2,Mortgage,,
Samantha lowers her loan interest rate amount by purchasing this at origination,Mortgage insurance,Mortgage points,Title policy,Title insurance,Fixed rate agreement,2,2,Mortgage,,
"Jack purchases 3 points on a loan of $1,200,000. Jack is prepaying how much on his loan?","$40,000 ","$36,000 ","$42,000 ","$3,600 ","$4,000 ",2,2,Mortgage,,1
Which of the following is NOT a type of deed?,Full convenant and warranty,Bargain and sale,Quitclaim,Judicial,County mandated,5,2,Deeds,,
Which of the following is NOT a type of deed?,Full convenant and warranty,Bargain and sale,Quitclaim,Judicial,Sheriff,5,2,Deeds,,
Which of the following is NOT true about a Full Covenant & Warranty deed?,Offers the most protection for the buyer,Contains covenants from the seller to the buyer,Contains covenant of seizin,Extremely popular,Is used for future title searches,4,3,Deeds,,
Which of the following is NOT true about a Quitclaim deed?,Offers the most protection for the buyer,Offers the most protection for the seller,Is commonly used in divorce or title disputes,Resolves a cloud over title,"If given a choice, buyers do not prefer it",1,3,Deeds,,
Which of the following is NOT true about a Bargain & Sale deed?,Extremely uncommon,Doesn't protect buyer as much as Full Covenant deed,Might contain covenant of seizin,Contains a few covenants,Could be used in future title searches,1,2,Deeds,1,1
Which of the following is NOT a type of deed?,Full convenant and warranty,Bargain and sale,Quitclaim,Judicial,Auctioned Deed,5,2,Deeds,,
A deed issued by a court is known as a,Clerk's deed,Judge's deed,Judicial deed,County deed,Magistrate's deed,3,2,Deeds,,
Ownership is transferred when which of the following occurs,Buyer puts in an offer,Handshake,Title search returns clear,Exchange of money,Offer and acceptance of the deed,5,3,Deeds,,
"Tom wishes to sell his house quickly and drops the price from $475,000 to $450,000. A buyer puts in an offer at $460,000. Which of the following is true?",Offer and acceptance has occurred,Seller has not accepted,The buyer's offer is invalid,The seller's price drop is invalid,The broker is owed commission,2,3,Contracts,,
Article 12A of the NY State Real Property Law is known as,Building zoning regulation,Salesperson regulation,Real estate license law,Broker conduct code,Real estate ethics,3,2,License Law,,
Which of the following is NOT associated with violations of Article 12A?,$1000 fine,1 year in jail,Misdmeanor charge,Loss of real estate license,Felony charge,5,2,License Law,,1
New York Real Estate License law is Article,12A,12,13,A12,Regulation 175.7,1,1,License Law,,
"If a broker's license is suspended, the licenses of their salespersons is",Revoked,Also suspended,Upgraded to a broker,Transferred to another brokerage,Unaffected,2,2,License Law,,
Bradley is a broker and just had his license suspended. Erica and Wayne work as salesperson for Bradley. Their licenses are now,Upgraded to a broker's license,Suspended,Invalid,Have a cloud over them,Paused for 30 days,2,2,License Law,,
Indira's broker license was revoked. How long does she need to wait to reinstate it?,"At minimum a year, and it's not guaranteed to be re-issued",Depends on the judge,Indira needs to attend a hearing that will determine when,6 months,Once all salespersons are paid their commissions owed,1,2,License Law,,
"In the context of Article 12A, a licensee is a",Broker or salesperson,Broker,Salesperson,Property manager,Landlord,1,2,License Law,1,1
 salesperson can only represent a buyer or seller by first associating with a broker,"False, a salesperson is an independent contractor","True, a salesperson must work with a licensed broker","True, as long as the broker's license was never suspended","False, Article 12A allows for exceptions for salesperons to operate independently","False, a salesperson and broker differ only in experience",2,2,Law of Agency,,
What are PCBs in the context of real estate?,Poly-chlorinated Biphenyls,Property Control Board,Poly-chlorine Bitrate,Professional Commercial Board,Pre-closing Buyer,1,2,Environmental Issues,,
A liquid used to cool power plans is called,PCs,PCDs,PCBs,PBCs,PDC,3,2,Environmental Issues,,
A liquid used to cool power plans is called,Poly-chlorinated Biphenyls,Sealants,Hyrogen Peroxide,Chlorine,Betadine,1,2,Environmental Issues,,
The acronym for Poly-chlorinated Biphenyls is,PC,PCB,PB,P.B,PolyC,2,2,Environmental Issues,,
Who is required to fill out the Property Condition Disclosure Statement?,Buyer's agent,Attorney,Seller's agent,Seller,Buyer,4,2,Law of Agency,,1
